subject,slice,mean_fg_dice,WT_dice,TC_dice,ET_dice
BraTS-GLI-00033-100,45,0.7912087923559956,0.1648351694239826,0.1648351694239826,0.1648351694239826
BraTS-GLI-00033-100,46,0.9514925373651466,0.8059701494605862,0.8059701494605862,0.8059701494605862
BraTS-GLI-00033-100,47,0.9721476510254042,0.888590604101617,0.888590604101617,0.888590604101617
BraTS-GLI-00033-100,48,0.9715326497725134,0.8861305990900537,0.8861305990900537,0.8861305990900537
BraTS-GLI-00033-100,49,0.9779005524963625,0.9116022099854503,0.9116022099854503,0.9116022099854503
BraTS-GLI-00033-100,50,0.9833333333400673,0.9333333333602694,0.9333333333602694,0.9333333333602694
BraTS-GLI-00033-100,51,0.9834396032648106,0.9337584130592425,0.9337584130592425,0.9337584130592425
BraTS-GLI-00033-100,52,0.986075949371495,0.9443037974859798,0.9443037974859798,0.9443037974859798
BraTS-GLI-00033-100,53,0.9887478361255777,0.9549913445023106,0.9549913445023106,0.9549913445023106
BraTS-GLI-00033-100,54,0.9891246330426675,0.9564985321706703,0.9564985321706703,0.9564985321706703
BraTS-GLI-00033-100,55,0.9893300248165434,0.9573200992661737,0.9573200992661737,0.9573200992661737
BraTS-GLI-00033-100,56,0.990693345744371,0.962773382977484,0.962773382977484,0.962773382977484
BraTS-GLI-00033-100,57,0.9913755218652218,0.9655020874608873,0.9655020874608873,0.9655020874608873
BraTS-GLI-00033-100,58,0.9911141134917659,0.9644564539670637,0.9644564539670637,0.9644564539670637
BraTS-GLI-00033-100,59,0.9903002534626048,0.961201013850419,0.961201013850419,0.961201013850419
BraTS-GLI-00033-100,60,0.9893655371324143,0.9574621485296572,0.9574621485296572,0.9574621485296572
BraTS-GLI-00033-100,61,0.7399308656629329,0.955593803794218,0.9597234226517332,0.9597234226517332
BraTS-GLI-00033-100,62,0.95209665631634,0.9614205004097788,0.9613278008362941,0.9613278008362941
BraTS-GLI-00033-100,63,0.9511586093248584,0.9260226283832285,0.925155609545293,0.925155609545293
BraTS-GLI-00033-100,64,0.9661139727131183,0.9674011081088261,0.9709373720874693,0.9709373720874693
BraTS-GLI-00033-100,65,0.9646694815597153,0.9732067764059585,0.9790967741962456,0.9790967741962456
BraTS-GLI-00033-100,66,0.9577482472261185,0.9703746397728675,0.9802887633420855,0.9802887633420855
BraTS-GLI-00033-100,67,0.9757181275114736,0.9782055537141049,0.9841819080592954,0.9841819080592954
BraTS-GLI-00033-100,68,0.9567571195789301,0.9602053915318565,0.9752676264334603,0.9752676264334603
BraTS-GLI-00033-100,69,0.9633426311296442,0.958222600195788,0.967613847875963,0.967613847875963
BraTS-GLI-00033-100,70,0.9578044671296645,0.9581135588004847,0.9730404393443535,0.9730404393443535
BraTS-GLI-00033-100,71,0.9539610549561445,0.953741074205346,0.97605243257171,0.97605243257171
BraTS-GLI-00033-100,72,0.95831586645578,0.9588179817710555,0.9805318742867373,0.9805318742867373
BraTS-GLI-00033-100,73,0.9533504255618361,0.9543830145097348,0.9805437443653467,0.9805437443653467
BraTS-GLI-00033-100,74,0.9494819730813209,0.9497930156087684,0.9772458240198283,0.9772458240198283
BraTS-GLI-00033-100,75,0.9418578879977482,0.9453991733798782,0.9788972089885777,0.9788972089885777
BraTS-GLI-00033-100,76,0.9510837098381297,0.9547977795451685,0.9816398037867359,0.9816398037867359
BraTS-GLI-00033-100,77,0.7099925020172011,0.9571346042799382,0.9770114942561765,0.977432801498141
BraTS-GLI-00033-100,78,0.961427469583395,0.9570067394890766,0.9774121166825113,0.9774121166825113
BraTS-GLI-00033-100,79,0.9484808303126337,0.9412464319765407,0.9735349716487816,0.9735349716487816
BraTS-GLI-00033-100,80,0.943451350404881,0.9306955645248619,0.9705580280776176,0.9705580280776176
BraTS-GLI-00033-100,81,0.9697403560050519,0.9592865451778096,0.9794058684200099,0.9794058684200099
BraTS-GLI-00033-100,82,0.9732646408949339,0.9613436417007006,0.9782320651186387,0.9782320651186387
BraTS-GLI-00033-100,83,0.9646758968874021,0.9520642837417478,0.9772994129202937,0.9772994129202937
BraTS-GLI-00033-100,84,0.9589893417380698,0.9446291745056196,0.9732309607857997,0.9732309607857997
BraTS-GLI-00033-100,85,0.9556175182412326,0.936469150895469,0.9688005546640165,0.9688005546640165
BraTS-GLI-00033-100,86,0.9530259125729768,0.9268762027057608,0.965848722497888,0.965848722497888
BraTS-GLI-00033-100,87,0.9373292197827134,0.8901256732692773,0.9568965517374087,0.9568965517374087
BraTS-GLI-00033-100,88,0.8367608503258143,0.6783695329728148,0.5545905709959115,0.5545905709959115
BraTS-GLI-00033-100,89,0.8038532006301495,0.6514745309868301,0.44553243641917695,0.44553243641917695
BraTS-GLI-00033-100,90,0.7973838728001283,0.6718861212299743,0.45201238559748486,0.45201238559748486
BraTS-GLI-00033-100,91,0.8740553202673818,0.8339869283215857,0.632653064972928,0.632653064972928
BraTS-GLI-00033-100,92,0.7155172432769986,0.6983240227677039,7.3529411224048445e-09,7.3529411224048445e-09
BraTS-GLI-00033-100,93,0.9675257732628335,0.8701030930513338,1.0,1.0
BraTS-GLI-00033-100,94,0.9654377880980696,0.8617511523922784,1.0,1.0
BraTS-GLI-00033-100,95,0.9608938548578384,0.8435754194313536,1.0,1.0
BraTS-GLI-00033-100,96,0.9595588236780925,0.8382352947123702,1.0,1.0
BraTS-GLI-00033-100,97,0.9256756760774287,0.7027027043097152,1.0,1.0
BraTS-GLI-00033-100,98,0.9343971635858357,0.7375886543433429,1.0,1.0
